route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
446-4799,446,"Kenmore - City Rocket",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/446,E463A4,000000
446-4948,446,"Kenmore - City Rocket",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/446,E463A4,000000
450-4799,450,"Riverhills - City Express via Mt Ommaney",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/450,E463A4,000000
450-4948,450,"Riverhills - City Express via Mt Ommaney",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/450,E463A4,000000
451-4799,451,"Sinnamon Park - Darra Station",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/451,E463A4,000000
451-4948,451,"Sinnamon Park - Darra Station",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/451,E463A4,000000
452-4799,452,"Riverhills West - Darra Station",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/452,E463A4,000000
452-4948,452,"Riverhills West - Darra Station",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/452,E463A4,000000
453-4799,453,"Mt Ommaney - City Express",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/453,E463A4,000000
453-4948,453,"Mt Ommaney - City Express",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/453,E463A4,000000
454-4799,454,"Riverhills - City Express",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/454,E463A4,000000
454-4948,454,"Riverhills - City Express",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/454,E463A4,000000
455-4799,455,"Riverhills - City Rocket",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/455,E463A4,000000
455-4948,455,"Riverhills - City Rocket",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/455,E463A4,000000
456-4799,456,"Mt Ommaney - City Rocket",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/456,E463A4,000000
456-4948,456,"Mt Ommaney - City Rocket",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/456,E463A4,000000
460-4799,460,"Heathwood - City Express",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/460,E463A4,000000
460-4948,460,"Heathwood - City Express",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/460,E463A4,000000
463-4841,463,"Forest Lake Village - Goodna Station",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/463,E463A4,000000
467-4799,467,"Oxley Station - Mt Ommaney via Sinnamon Park",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/467,E463A4,000000
467-4948,467,"Oxley Station - Mt Ommaney via Sinnamon Park",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/467,E463A4,000000
468-4799,468,"Oxley Station - Indooroopilly",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/468,E463A4,000000
468-4948,468,"Oxley Station - Indooroopilly",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/468,E463A4,000000
470-4799,470,"Toowong - City",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/470,E463A4,000000
470-4948,470,"Toowong - City",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/470,E463A4,000000
471-4799,471,"Mt Coot-tha Lookout - City",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/471,E463A4,000000
471-4948,471,"Mt Coot-tha Lookout - City",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/471,E463A4,000000
475-4799,475,"Rainworth - City",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/475,E463A4,000000
475-4948,475,"Rainworth - City",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/475,E463A4,000000
476-4799,476,"Rainworth - City",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/476,E463A4,000000
476-4948,476,"Rainworth - City",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/476,E463A4,000000
500-4841,500,"Riverlink Shopping Centre - Goodna Station",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/500,E463A4,000000
501-4517,501,"Springfield Central station - Bell Street",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/501,E463A4,000000
501-5015,501,"Springfield Central station - Bell Street",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/501,E463A4,000000
502-4841,502,"Bundamba - Riverlink via Blackstone",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/502,E463A4,000000
503-4841,503,"Bundamba - Riverlink via Eastern Heights",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/503,E463A4,000000
506-4841,506,"Riverlink Shopping Centre - Leichhardt & One Mile",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/506,E463A4,000000
509-4841,509,"Yamanto - Riverlink Shopping Centre",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/509,E463A4,000000
512-4841,512,"Brassall - Riverlink Shopping Centre",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/512,E463A4,000000
514-4841,514,"Tivoli - Booval Fair",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/514,E463A4,000000
515-4841,515,"Brassall - Yamanto & Willowbank",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/515,E463A4,000000
520-4517,520,"Goodna station - Eden's Crossing",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/520,E463A4,000000
520-5015,520,"Goodna station - Eden's Crossing",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/520,E463A4,000000
522-4517,522,"Redbank station - Springfield Central station",,3,https://jp.translink.com.au/plan-your-journey/timetables/bus/T/522,E463A4,000000
